name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds
german_07_harder_1.in, safe,  7201.527,  1268.102,  5132.845,  6782.029,  319.895,  0.000,  782.064,  415,  {0: 1; 1: 1; 2: 2; 3: 9; 4: 9; 5: 8; 6: 34; 7: 79},  {0: 41; 1: 41; 2: 41; 3: 41; 4: 25; 5: 25; 6: 25},  0,  12,  12,  0,  12 

Distrib_Lamport.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

token_ring.in, safe,  39.568,  17.304,  17.003,  25.362,  12.811,  0.028,  3.726,  106,  {0: 1; 1: 2; 2: 2; 3: 7; 4: 9; 5: 3},  {0: 14; 1: 21; 2: 21; 3: 21; 4: 21},  1,  6,  10,  0,  7 

messenger_safe_2_a0_a2-src_a0-dst_a2.in, safe,  1330.561,  1021.305,  36.619,  368.260,  927.451,  0.000,  176.964,  1855,  {0: 1; 1: 1; 2: 4; 3: 8; 4: 31; 5: 14; 6: 55; 7: 46; 8: 46; 9: 39; 10: 25; 11: 15; 12: 30; 13: 40},  {0: 34; 1: 34; 2: 34; 3: 34; 4: 34; 5: 25; 6: 25; 7: 25; 8: 25; 9: 25; 10: 25; 11: 17; 12: 17},  0,  17,  17,  0,  17 

moesi_ca.in, safe,  1.439,  0.478,  0.210,  0.622,  0.605,  0.008,  0.030,  83,  {0: 1; 1: 1; 2: 1; 3: 13; 4: 3},  {0: 11; 1: 11; 2: 11; 3: 11},  1,  6,  11,  0,  6 

reader.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

network_safe_5_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

network_safe_6_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

network_unsafe_2_d_e-src_d-dst_e.in, unsafe,  302.013,  97.776,  125.297,  244.856,  55.469,  0.911,  74.903,  58,  {0: 1; 1: 1; 2: 4; 3: 3; 4: 7},  {0: 72; 1: 47; 2: 27; 3: 12},  0,  12,  0,  0,  0 

